,Compound,Date,Negative,Neutral,Positive,Tweet,User
42,0.0,Mon Jan 15 03:46:04 +0000 2018,0.0,1.0,0.0,Aziz Ansari responds to woman's claim of sexual misconduct https://t.co/oD4RUWfHYo https://t.co/sxv1FNiim1,CBSNews
43,0.0,Mon Jan 15 03:33:05 +0000 2018,0.0,1.0,0.0,"Oprah Winfrey on ""Time's Up"": Where do we go from here? https://t.co/bB4sn21HFy https://t.co/82hHo946SD",CBSNews
44,-0.296,Mon Jan 15 03:18:10 +0000 2018,0.136,0.864,0.0,"Sen. Joe Manchin: No senator would make up ""atrocious"" remark attributed to Trump https://t.co/J3eGgmG0rW https://t.co/tuYvIPzN5z",CBSNews
45,-0.3182,Mon Jan 15 03:14:05 +0000 2018,0.24,0.599,0.162,U.K. party suspends leader's girlfriend over racist Meghan Markle remarks https://t.co/6Vu18bvGiS https://t.co/Pvneco0nFr,CBSNews
46,0.0,Mon Jan 15 03:03:05 +0000 2018,0.0,1.0,0.0,"Jaguars edge out Steelers 45-42, will meet Patriots for AFC title game https://t.co/TQr5kInUoF https://t.co/Fjl9N5rLji",CBSNews
47,0.6298,Mon Jan 15 02:57:26 +0000 2018,0.089,0.66,0.25,"""I am not a racist. I am the least racist person you have ever interviewed."" Pres. Trump responds to accusations of… https://t.co/WpIzABa5zl",CBSNews
48,-0.8934,Mon Jan 15 02:40:01 +0000 2018,0.433,0.567,0.0,Detectives probe claim that disgraced former politician Elliot Spitzer wanted to stab man during irate interaction… https://t.co/sfXwigqrfA,CBSNews
49,0.4973,Mon Jan 15 02:21:32 +0000 2018,0.0,0.855,0.145,President Trump says he's not a racist days after his reported use of vulgar language to describe immigrants from A… https://t.co/k2ZZQM0UZK,CBSNews
50,0.1779,Mon Jan 15 02:00:01 +0000 2018,0.0,0.918,0.082,Driver trying to make an escape in NYC's Times Square hit a police officer with his car before speeding off… https://t.co/brvJXUDKli,CBSNews
51,-0.6908,Mon Jan 15 01:40:01 +0000 2018,0.275,0.725,0.0,Former NBA star Dennis Rodman has been arrested on suspicion of DUI in Southern California https://t.co/a1Jrv9NEmv https://t.co/f23KGV8zmG,CBSNews
52,-0.6705,Mon Jan 15 01:20:01 +0000 2018,0.243,0.757,0.0,"Married couple killed as Amtrak train hits SUV in North Carolina, authorities say https://t.co/0DMiXjvmxu https://t.co/tRxRokswIx",CBSNews
53,0.0,Mon Jan 15 01:00:01 +0000 2018,0.0,1.0,0.0,"Is Portland still Portlandia? For years, the city has been the symbol for laid-back, inexpensive quirkiness, but it… https://t.co/CIvb18AOmO",CBSNews
54,-0.128,Mon Jan 15 00:40:00 +0000 2018,0.077,0.923,0.0,"It may mostly be propaganda when North Korea boasts about its nuclear capabilities, but one American scientist says… https://t.co/phGnlcYC2S",CBSNews
55,-0.5994,Mon Jan 15 00:20:03 +0000 2018,0.157,0.843,0.0,"In 16 years, the Afghan War has cost 2,400 American lives and $1 trillion. But with the country's capital under sie… https://t.co/sTj39YAIae",CBSNews
56,0.2732,Mon Jan 15 00:00:01 +0000 2018,0.0,0.896,0.104,"Portland is known for its civic responsibility and tolerant disposition. Yet last May, the city also witnessed a ho… https://t.co/cYQMbwK08w",CBSNews
57,0.0,Sun Jan 14 23:47:26 +0000 2018,0.0,1.0,0.0,"Footage shows firefighters responding to a casino boat engulfed in flames near Port Richey, Florida. Dozens of peop… https://t.co/g2hOxRv8HO",CBSNews
58,0.4588,Sun Jan 14 23:21:01 +0000 2018,0.0,0.833,0.167,North Korea has been boasting about its growing nuclear arsenal for years. To make sure the US got the message that… https://t.co/t8qPSfrtMQ,CBSNews
59,-0.5994,Sun Jan 14 22:41:01 +0000 2018,0.163,0.837,0.0,"The war in Afghanistan is the longest in US history. After 16 years, a trillion dollars and 2400 American lives, th… https://t.co/BOYYHwOKVi",CBSNews
60,-0.1531,Mon Jan 15 04:16:07 +0000 2018,0.19,0.652,0.158,Poll: Do you think race relations in the U.S. are good or bad? https://t.co/ydWt1XLpQr,FoxNews
61,0.0,Mon Jan 15 04:12:03 +0000 2018,0.0,1.0,0.0,"This morning, President @realDonaldTrump declared that ""DACA is probably dead."" https://t.co/rmJNZSMcH1 https://t.co/iMXz7UKLIg",FoxNews
62,0.3612,Mon Jan 15 04:06:05 +0000 2018,0.0,0.884,0.116,".@DiamondandSilk: ""It sounds like @BarackObama is living on a planet in La La Land. He's the one who's running arou… https://t.co/cSbitN4GZo",FoxNews
63,-0.6124,Mon Jan 15 04:00:04 +0000 2018,0.267,0.733,0.0,"On @FoxNewsSunday, California @AGBecerra stated that President @realDonaldTrump is a racist. https://t.co/uWy1ElA9il https://t.co/6BZiApqAL4",FoxNews
64,-0.7048,Mon Jan 15 03:55:06 +0000 2018,0.218,0.782,0.0,"Joe Arpaio on running for Senate in Arizona: ""I never had a hero, it took me 75 years to find a hero, and that's… https://t.co/3ikhbqRzNq",FoxNews
65,0.0,Mon Jan 15 03:47:00 +0000 2018,0.0,1.0,0.0,"Drugged driver crashes car into second story of California building, officials say https://t.co/wUmpA3CPHT",FoxNews
66,-0.296,Mon Jan 15 03:41:00 +0000 2018,0.167,0.833,0.0,Georgia high school janitor accused of spying on girl's locker room https://t.co/noz0j8ezp2,FoxNews
67,0.1531,Mon Jan 15 03:36:00 +0000 2018,0.0,0.882,0.118,"Palestinian leader Abbas rips Trump, vows 'we will slap back' at president https://t.co/9jOdqPJCKb",FoxNews
68,-0.079,Mon Jan 15 03:31:00 +0000 2018,0.116,0.884,0.0,Thai junta boss eyes staying on with little stopping him https://t.co/wnTAXck6Qy,FoxNews
69,0.0,Mon Jan 15 03:25:06 +0000 2018,0.0,1.0,0.0,"Rescuers search homes off East Valley Road in Montecito, California after deadly mudslides pummeled parts of Southe… https://t.co/TFhJjYDoUc",FoxNews
70,-0.7579,Mon Jan 15 03:25:03 +0000 2018,0.371,0.629,0.0,Hawaii's false missile threat: Worker who pushed wrong button to be reassigned https://t.co/eHb9oquMzb,FoxNews
71,-0.4215,Mon Jan 15 03:15:00 +0000 2018,0.196,0.714,0.089,"GOP senator Perdue comes to Trump's defense after 's---hole' outcry, questions Durbin's credibility https://t.co/27zpSBRH9l",FoxNews
72,0.0,Mon Jan 15 03:08:23 +0000 2018,0.125,0.75,0.125,".@CortesSteve: Instead of criticizing @realDonaldTrump on immigration issues, we should thank him for doing his job https://t.co/0veqK9tX4p",FoxNews
73,0.0,Mon Jan 15 03:06:53 +0000 2018,0.0,1.0,0.0,"RT @FoxNewsResearch: ISIS-related cases in the U.S. →
•42% of cases involved individuals born outside U.S.
•Most common countries of origin…",FoxNews
74,0.1139,Mon Jan 15 03:05:02 +0000 2018,0.0,0.929,0.071,JANUARY 20th: @TeamCavuto is LIVE in Washington for 2 hours - Don't miss #Cavuto Live every Saturday from 10a to 12… https://t.co/BpGDGHakWQ,FoxNews
75,-0.6908,Mon Jan 15 02:57:00 +0000 2018,0.322,0.678,0.0,Liam Neeson sees 'a bit of a witch hunt' in Hollywood's sexual misconduct scandals https://t.co/lEs1xT2eu8,FoxNews
76,0.0,Mon Jan 15 02:49:00 +0000 2018,0.0,1.0,0.0,Medieval Times introduces female lead for first time in 34-year history https://t.co/vAd5UOTRZu,FoxNews
77,0.0,Mon Jan 15 02:45:12 +0000 2018,0.0,1.0,0.0,Koreas discuss Northern art troupe's planned visit during Olympics https://t.co/6YDNdPJYKq,FoxNews
78,0.0,Mon Jan 15 02:32:22 +0000 2018,0.0,1.0,0.0,".@ConanOBrien jabs @realDonaldTrump, announces he's taking his show to Haiti https://t.co/JlPGH4gvzM",FoxNews
79,0.0,Mon Jan 15 02:22:59 +0000 2018,0.0,1.0,0.0,".@LucyFlores on DACA: ""You're not against Dreamers because you're not for spending unnecessary tax dollars... what… https://t.co/J7w7vLw0Uc",FoxNews
80,0.6124,Mon Jan 15 04:07:54 +0000 2018,0.0,0.706,0.294,"Doug Harvey, Hall of Fame Umpire Whom Players Called God, Dies at 87 https://t.co/4MND81qAdm",nytimes
81,-0.5719,Mon Jan 15 03:57:48 +0000 2018,0.27,0.73,0.0,"In Iran, Protester ‘Suicides’ Stir Anger and Calls for Accountability https://t.co/ipFcTXrdPU",nytimes
82,-0.2263,Mon Jan 15 03:54:37 +0000 2018,0.128,0.872,0.0,"The Saturday Profile: Cairo’s Lawsuit King Sues Actors, Belly Dancers, Even Puppet Shows https://t.co/9aTTItWgPH",nytimes
83,-0.6808,Mon Jan 15 03:47:51 +0000 2018,0.25,0.672,0.078,"When a woman was raped in a Brooklyn park in 1994, a columnist called it a hoax. But new DNA testing has solved the… https://t.co/r9ymHZJG43",nytimes
