CityID,Latitude,Longtitude,Nearest City,Max_Temp,Humidity,Cloudiness,Wind Speed
214,-37.10795837,151.3613017,batemans bay,21.8,84,0,1.87
215,61.29322488,179.2871793,beringovskiy,-7.85,96,80,12.42
216,-65.24982649,143.159945,hobart,26,41,0,6.7
217,84.94754291,21.22979526,longyearbyen,0,82,75,9.8
218,-27.58321144,-81.23703117,coquimbo,10,93,0,2.6
219,-72.43585407,131.3543078,new norfolk,26,41,0,6.7
220,4.250606296,-17.35454114,goderich,-4.25,75,0,5.72
221,-13.68545699,-99.15173579,puerto ayora,25.15,100,32,1.17
222,-76.60693428,-160.090676,mataura,7.65,79,8,2.12
223,29.75083114,19.70760138,ajdabiya,26.4,22,0,8.07
224,-77.81369936,-159.0812099,mataura,7.65,79,8,2.12
225,46.43040485,112.44867,baruun-urt,7.1,26,0,4.82
226,-73.10567081,-4.223936027,hermanus,20.75,53,24,3.67
227,-46.53487478,13.53809075,hermanus,20.75,53,24,3.67
228,-18.45058815,135.7759887,ngukurr,,,,
229,-37.70662192,-13.38886949,jamestown,27.9,23,0,3.82
230,-6.713178977,-131.2748351,atuona,27.95,98,92,7.17
231,48.915544,171.6712778,nikolskoye,-7,67,40,4
232,59.94030037,-155.7851871,kodiak,3,86,90,6.2
233,-87.31327937,121.5605078,new norfolk,26,41,0,6.7
234,-79.43788297,78.75078253,busselton,19.35,100,0,8.72
235,36.43048925,-168.6976132,kapaa,23,94,90,1.87
236,47.37460533,-79.99683817,haileybury,-10,33,1,7.2
237,-78.97673327,-37.07888955,ushuaia,2,100,75,2.6
238,-44.55651902,67.05677048,saint-philippe,-7,41,75,4.6
239,-62.01446461,86.78622897,busselton,19.35,100,0,8.72
240,-10.04037788,141.4873489,morehead,4,38,75,2.1
241,-2.139212973,136.2933531,biak,24.35,100,68,1.67
242,54.04757965,-31.18564423,grindavik,6,93,90,7.2
243,-32.18648164,-87.68257985,lebu,21.6,55,32,2.67
244,32.41327125,58.66705247,birjand,22,13,75,9.3
245,-8.34541977,70.53677379,hithadhoo,29.3,100,20,6.62
246,-73.98604915,99.06126092,albany,-4,53,20,6.7
247,-23.70866908,49.310077,farafangana,24.2,100,92,5.67
248,74.75610141,-106.2676743,yellowknife,-12,78,40,3.6
249,-63.01127153,-178.7203001,vaini,28.3,77,80,1.67
250,-40.57902264,-101.4667765,ancud,9.4,98,100,0.92
251,-57.11340851,-109.7196068,castro,7.65,100,44,1.47
252,79.87161287,151.1057714,chokurdakh,-34.5,0,0,3.92
253,-53.62574029,97.1769325,busselton,19.35,100,0,8.72
254,30.96733674,82.32553194,jumla,2.4,67,80,0.97
255,21.88379746,174.7330989,butaritari,28.6,99,24,2.52
256,15.12787399,-92.91287191,acapetahua,,,,
257,-51.58092111,-141.3462136,rikitea,27.6,96,64,6.77
258,41.96739646,18.77481865,ulcinj,17,93,90,2.6
259,-75.56178424,29.73606862,port elizabeth,-1,58,1,2.6
260,78.21246125,-143.8886976,aklavik,-11,85,90,1.5
261,10.89783275,-66.74301217,caraballeda,23,88,20,1.5
262,-31.35874756,43.34486123,beloha,35.7,31,0,3.92
263,-40.76020027,-137.0540309,rikitea,27.6,96,64,6.77
264,12.11932625,-172.7596235,kapaa,23,94,90,1.87
265,75.38132283,139.7329474,nizhneyansk,,,,
266,-33.28866272,-160.1284664,avarua,24,88,40,1
267,9.335292096,-120.3126553,cabo san lucas,20,60,5,2.82
268,-42.90453852,-48.07082528,rocha,14.7,93,0,2.77
269,87.22093191,53.01923591,belushya guba,,,,
270,76.16996901,-45.75198075,ilulissat,-21,76,24,1.5
271,-35.42497727,-96.35579193,lebu,21.6,55,32,2.67
272,-20.0594138,99.29728911,palabuhanratu,,,,
273,9.79845142,-147.5592203,hilo,23,88,20,2.1
274,-46.76246866,-68.29153445,comodoro rivadavia,10,61,0,5.1
275,-66.84569604,-44.60913761,ushuaia,2,100,75,2.6
276,64.12677404,139.0412441,khandyga,-24.65,38,0,1.17
